Mean and standard deviations for all histograms generated 
Detector	xmean	xstd	ymean	ystd
file1_MW924	-3.5779470989587887	7.541283279926565	5.798359525776596	7.734442209083357
file1_MW924	-3.686024140524606	7.219801770590098	5.6564654816089055	8.164735378984204
file1_MW924	-3.627231879967402	7.396584699374282	5.7312750001621415	7.941069441772113
file1_MW926	-0.43308168487936033	5.196517638839306	2.901794584707576	4.907638809887318
file1_MW926	-0.008889003623448521	5.726133077187588	2.9455635298914333	5.025413454168775
file1_MW926	-0.20849941289977095	5.487332406346425	2.9454191776915084	4.834945337589121
file1_MW927	1.175317580577986	6.120118558106554	0.3858509591871482	10.270320026088251
file1_MW927	0.17654529993159968	6.075733508442921	0.5931577359651926	10.44942020137576
file1_MW927	0.6980848472446066	6.0575761382219815	0.4905268560003399	10.361666408923744
file2_MW926	-3.5779470989587887	7.541283279926565	5.798359525776596	7.734442209083357
file2_MW926	-3.686024140524606	7.219801770590098	5.6564654816089055	8.164735378984204
file2_MW926	-3.627231879967402	7.396584699374282	5.7312750001621415	7.941069441772113
file2_MW927	-0.43308168487936033	5.196517638839306	2.901794584707576	4.907638809887318
file2_MW927	-0.008889003623448521	5.726133077187588	2.9455635298914333	5.025413454168775
file2_MW927	-0.20849941289977095	5.487332406346425	2.9454191776915084	4.834945337589121
file2_MW930	1.175317580577986	6.120118558106554	0.3858509591871482	10.270320026088251
file2_MW930	0.17654529993159968	6.075733508442921	0.5931577359651926	10.44942020137576
file2_MW930	0.6980848472446066	6.0575761382219815	0.4905268560003399	10.361666408923744
file3_MW927	-3.5779470989587887	7.541283279926565	5.798359525776596	7.734442209083357
file3_MW927	-3.686024140524606	7.219801770590098	5.6564654816089055	8.164735378984204
file3_MW927	-3.627231879967402	7.396584699374282	5.7312750001621415	7.941069441772113
file3_MW930	-0.43308168487936033	5.196517638839306	2.901794584707576	4.907638809887318
file3_MW930	-0.008889003623448521	5.726133077187588	2.9455635298914333	5.025413454168775
file3_MW930	-0.20849941289977095	5.487332406346425	2.9454191776915084	4.834945337589121
file3_MW932	1.175317580577986	6.120118558106554	0.3858509591871482	10.270320026088251
file3_MW932	0.17654529993159968	6.075733508442921	0.5931577359651926	10.44942020137576
file3_MW932	0.6980848472446066	6.0575761382219815	0.4905268560003399	10.361666408923744
Mean and standard deviations for all histograms generated 
Detector	xmean	xstd	ymean	ystd
Mean and standard deviations for all histograms generated 
Detector	xmean	xstd	ymean	ystd
Mean and standard deviations for all histograms generated 
Detector	xmean	xstd	ymean	ystd
file1_MW924	-3.5779470989587887	2.50015222400592	5.798359525776596	2.68433968060045
file1_MW924	-3.686024140524606	2.192298632928943	5.6564654816089055	2.6826242663052486
file1_MW924	-3.627231879967402	2.351343572962804	5.7312750001621415	2.6836029772764305
file1_MW926	-0.43308168487936033	1.5066877013505748	2.901794584707576	1.4119623488253543
file1_MW926	-0.008889003623448521	1.7609639810045437	2.9455635298914333	1.5018459528536292
file1_MW926	-0.20849941289977095	1.639974691310659	2.9454191776915084	1.4132007765668106
file1_MW927	1.175317580577986	1.972030346716325	0.3858509591871482	4.098229296981985
file1_MW927	0.17654529993159968	1.8847339674803427	0.5931577359651926	4.211118772005204
file1_MW927	0.6980848472446066	1.9114470497266023	0.4905268560003399	4.155271814590854
file2_MW926	-3.5779470989587887	2.50015222400592	5.798359525776596	2.68433968060045
file2_MW926	-3.686024140524606	2.192298632928943	5.6564654816089055	2.6826242663052486
file2_MW926	-3.627231879967402	2.351343572962804	5.7312750001621415	2.6836029772764305
file2_MW927	-0.43308168487936033	1.5066877013505748	2.901794584707576	1.4119623488253543
file2_MW927	-0.008889003623448521	1.7609639810045437	2.9455635298914333	1.5018459528536292
file2_MW927	-0.20849941289977095	1.639974691310659	2.9454191776915084	1.4132007765668106
file2_MW930	1.175317580577986	1.972030346716325	0.3858509591871482	4.098229296981985
file2_MW930	0.17654529993159968	1.8847339674803427	0.5931577359651926	4.211118772005204
file2_MW930	0.6980848472446066	1.9114470497266023	0.4905268560003399	4.155271814590854
file3_MW927	-3.5779470989587887	2.50015222400592	5.798359525776596	2.68433968060045
file3_MW927	-3.686024140524606	2.192298632928943	5.6564654816089055	2.6826242663052486
file3_MW927	-3.627231879967402	2.351343572962804	5.7312750001621415	2.6836029772764305
file3_MW930	-0.43308168487936033	1.5066877013505748	2.901794584707576	1.4119623488253543
file3_MW930	-0.008889003623448521	1.7609639810045437	2.9455635298914333	1.5018459528536292
file3_MW930	-0.20849941289977095	1.639974691310659	2.9454191776915084	1.4132007765668106
file3_MW932	1.175317580577986	1.972030346716325	0.3858509591871482	4.098229296981985
file3_MW932	0.17654529993159968	1.8847339674803427	0.5931577359651926	4.211118772005204
file3_MW932	0.6980848472446066	1.9114470497266023	0.4905268560003399	4.155271814590854
Mean and standard deviations for all histograms generated 
Detector	xmean	xstd	ymean	ystd
file1_MW924	-3.5779470989587887	3.1811152887960836	5.798359525776596	2.5774904536360115
file1_MW924	-3.686024140524606	3.0145235257180913	5.6564654816089055	2.754466648260427
file1_MW924	-3.627231879967402	3.105478521897285	5.7312750001621415	2.6616392561926956
file1_MW926	-0.43308168487936033	2.0789831136742025	2.901794584707576	1.8200696332457138
file1_MW926	-0.008889003623448521	2.3686978700514625	2.9455635298914333	1.8777945572113828
file1_MW926	-0.20849941289977095	2.233881273321935	2.9454191776915084	1.7945699679969662
file1_MW927	1.175317580577986	2.668121152936281	0.3858509591871482	5.500453702307134
file1_MW927	0.17654529993159968	2.629042763066953	0.5931577359651926	5.76725993067888
file1_MW927	0.6980848472446066	2.652555020419594	0.4905268560003399	5.6330306812983455
